pdb_id,title,resolution,doi,keywords,state,notes
3QS5,CRYSTAL STRUCTURE OF LEUT MUTANT I359Q BOUND TO SODIUM AND L- TRYPTOPHAN,2.60 ANGSTROMS.,10.1038/EMBOJ.2011.353,"NSS, NEUROTRANSMITTER, TRANSPORTER, LEUT-FOLD, SODIUM-COUPLED SECONDARY TRANSPORTER, SODIUM AND AMINO ACID BINDING, MEMBRANE, TRANSPORT PROTEIN",outward_open,Tryptophan-bound mutant
3QS6,"CRYSTAL STRUCTURE OF LEUT MUTANT F259V,I359Q BOUND TO SODIUM AND L- TRYPTOPHAN",2.80 ANGSTROMS.,10.1038/EMBOJ.2011.353,"NSS, NEUROTRANSMITTER TRANSPORTER, LEUT-FOLD, SODIUM-COUPLED SECONDARY TRANSPORTER, SODIUM AND AMINO ACID BINDING, MEMBRANE, TRANSPORT PROTEIN",outward_open,Tryptophan-bound mutant
3TT1,CRYSTAL STRUCTURE OF LEUT IN THE OUTWARD-OPEN CONFORMATION IN COMPLEX WITH FAB,3.10 ANGSTROMS.,10.1038/NATURE10737,"LEUT FOLD, TRANSPORTER, PLASMA MEMBRANE, TRANSPORT PROTEIN",outward_open,Canonical outward-open
3TT3,CRYSTAL STRUCTURE OF LEUT IN THE INWARD-OPEN CONFORMATION IN COMPLEX WITH FAB,3.22 ANGSTROMS.,10.1038/NATURE10737,"LEUT FOLD, TRANSPORTER, PLASMA MEMBRANE, TRANSPORT PROTEIN",inward_open,Canonical inward-open
3TU0,"CRYSTAL STRUCTURE OF T355V, S354A, K288A LEUT MUTANT IN COMPLEX WITH ALANINE AND SODIUM",2.99 ANGSTROMS.,10.1038/NATURE10737,"LEUT-FOLD, SODIUM-DEPENDENT AMINO ACID TRANSPORTER, PLASMA MEMBRANE, TRANSPORT PROTEIN",inward_open,Mutant associated with inward-open state
3USI,CRYSTAL STRUCTURE OF LEUT BOUND TO L-LEUCINE IN SPACE GROUP P2 FROM LIPID BICELLES,3.11 ANGSTROMS.,10.1038/NSMB.2215,"LEUCINE TRANSPORTER, TRANSPORT PROTEIN",occluded,Leucine-bound
3USL,CRYSTAL STRUCTURE OF LEUT BOUND TO L-SELENOMETHIONINE IN SPACE GROUP C2 FROM LIPID BICELLES,2.71 ANGSTROMS.,10.1038/NSMB.2215,"LEUCINE TRANSPORTER, TRANSPORT PROTEIN",occluded,Selenomethionine-bound
3USM,CRYSTAL STRUCTURE OF LEUT BOUND TO L-SELENOMETHIONINE IN SPACE GROUP C2 FROM LIPID BICELLES (COLLECTED AT 1.2 A),3.01 ANGSTROMS.,10.1038/NSMB.2215,"LEUCINE TRANSPORTER, TRANSPORT PROTEIN",occluded,Selenomethionine-bound
3USO,CRYSTAL STRUCTURE OF LEUT BOUND TO L-SELENOMETHIONINE IN SPACE GROUP P21212 FROM LIPID BICELLES,4.50 ANGSTROMS.,10.1038/NSMB.2215,"LEUCINE TRANSPORTER, TRANSPORT PROTEIN",occluded,Selenomethionine-bound
3USP,CRYSTAL STRUCTURE OF LEUT IN HEPTYL-BETA-D-SELENOGLUCOSIDE,2.10 ANGSTROMS.,10.1038/NSMB.2215,"LEUCINE TRANSPORTER, TRANSPORT PROTEIN",outward_occluded,Detergent-bound; verify
5JAE,"LEUT IN THE OUTWARD-ORIENTED, NA+-FREE RETURN STATE, P21 FORM AT PH 6.5",2.50 ANGSTROMS.,10.1038/NCOMMS11673,"MEMBRANE PROTEIN, NEUROTRANSMITTER:SODIUM SYMPORTER FAMILY, AMINO ACID TRANSPORTER",outward_return,Na-free return state
5JAF,"LEUT NA+-FREE RETURN STATE, C2 FORM AT PH 5",3.02 ANGSTROMS.,10.1038/NCOMMS11673,"MEMBRANE PROTEIN, NEUROTRANSMITTER:SODIUM SYMPORTER FAMILY, AMINO ACID TRANSPORTER, TRANSPORT PROTEIN",outward_return,Na-free return state
5JAG,"LEUT T354H MUTANT IN THE OUTWARD-ORIENTED, NA+-FREE RETURN STATE",2.58 ANGSTROMS.,10.1038/NCOMMS11673,"NSS FAMILY, APO STATE, TRANSPORT PROTEIN",outward_return,Na-free return state
6XWM,MECHANISM OF SUBSTRATE RELEASE IN NEUROTRANSMITTER:SODIUM SYMPORTERS: THE STRUCTURE OF LEUT IN AN INWARD-FACING OCCLUDED CONFORMATION,2.60 ANGSTROMS.,10.1038/S41467-020-14735-W,"NEUROTRANSMITTER:SODIUM SYMPORTERS (NSS), MEMBRANE PROTEIN",inward_occluded,Canonical inward-facing occluded
